prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,BLUEFISH,198616128301we,10512198601259197,,1,1,,2,1,9,9,Y,20,150,,3,1051219860125004,197,2,3,0,0,0,,,,6,12,12,6,1,1,1986,1051219860125,01,we,,,1051219860125004,,,,8,1,,,08MAR92:15:17,1,8,1,,,,8835250101,,1,8,8,1140,,18,139508.8696,198616128301we,,0,1051219860125004
GULF KINGFISH,BLUEFISH,198616128302we,106291986020185312,,1,1,,2,1,85,111,Y,10,25,,4,1062919860201016,312,1,3,0,0,0,,,,6,12,12,6,1,1,1986,1062919860201,02,we,,,1062919860201016,,,,8,1,,,08MAR92:15:17,1,8,1,,,,8835250101,8835440602,1,8,8,1425,,41,139508.8696,198616128302we,,0,1062919860201016
,,198616128301we,10512198601259197,0,1,1,,2,1,9,167,O,4,4,,0.5,1051219860125005,197,2,3,1,0,0,,,,6,12,37,6,1,1,1986,1051219860125,01,we,,,1051219860125005,1,0,2,8,1,,,08MAR92:15:17,1,8,1,,,,,,1,8,8,1240,,68,102639.25055,198616128301we,,0,1051219860125005
,,198616128302wd,1054219860221109172,,1,1,,2,1,109,109,Y,6,6,,3,1054219860221010,172,1,3,0,0,0,,,,6,12,12,6,2,1,1986,1054219860221,02,wd,,,1054219860221010,,,,8,2,,,08MAR92:15:17,1,8,1,,,,,,1,8,8,1755,,36,84287.096859,198616128302wd,,0,1054219860221010
,,198616128301we,10512198601259197,0,1,1,,2,1,9,9,Y,5,5,,3,1051219860125007,197,2,3,1,0,0,,,,6,12,12,6,2,1,1986,1051219860125,01,we,,,1051219860125007,1,0,1,8,9,,,08MAR92:15:17,1,8,1,,,,,,1,8,8,1355,,32,139508.8696,198616128301we,,0,1051219860125007
,SOUTHERN KINGFISH,198616128302we,10542198602093143,0,1,1,,2,1,31,31,Y,15,100,,6,1054219860209019,43,1,3,2,0,0,,,,6,12,12,6,1,1,1986,1054219860209,02,we,,,1054219860209019,1,,,8,1,,,08MAR92:15:17,1,8,1,,,,8835440601,,1,8,8,1505,,58,72747.840338,198616128302we,,0,1054219860209019
,SOUTHERN KINGFISH,198616128302we,10542198602093143,,1,1,,2,1,31,31,Y,8,50,,6,1054219860209001,43,1,3,0,0,0,,,,6,12,12,6,1,1,1986,1054219860209,02,we,,,1054219860209001,,,,8,1,,,08MAR92:15:17,1,8,1,,,,8835440601,,1,8,8,1210,,39,72747.840338,198616128302we,,0,1054219860209001
,GULF KINGFISH,198616128302we,106291986020185312,0,1,1,,2,1,85,111,Y,40,225,,3,1062919860201017,312,1,3,1,0,0,,,,6,12,12,6,1,1,1986,1062919860201,02,we,,,1062919860201017,1,,,8,1,,,08MAR92:15:17,1,8,1,,,,8835440602,,1,8,8,1440,,67,139508.8696,198616128302we,,0,1062919860201017
,,198616128301we,10512198601259197,,1,1,,2,1,9,83,O,0,0,,1.5,1051219860125008,197,2,3,0,0,0,,,,7,12,12,6,1,1,1986,1051219860125,01,we,,,1051219860125008,,,,8,9,,,08MAR92:15:17,1,8,1,,,,,,1,8,8,1515,,63,102639.25055,198616128301we,,0,1051219860125008
,SOUTHERN KINGFISH,198616128302we,10542198602093143,,1,1,,2,1,31,31,Y,20,100,,4,1054219860209017,43,1,3,0,0,0,,,,6,12,12,6,1,1,1986,1054219860209,02,we,,,1054219860209017,,,,8,1,,,08MAR92:15:17,1,8,1,,,,8835440601,,1,8,8,1440,,34,72747.840338,198616128302we,,0,1054219860209017
