prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,19864498308we,10070198608169405,0,1,1,,2,1,9,87,O,0,1,,4,1007019860816003,405,5,3,2,0,0,,,,5,9,36,4,1,4,1986,1007019860816,08,we,,,1007019860816003,1,,,8,9,,,08MAR92:16:10,1,8,1,,,,,,1,8,8,1455,,16,15608.020788,19864498308we,,0,1007019860816003
,SUMMER FLOUNDER,19864498308wd,10716198608017405,,5,5,,2,1,7,7,Y,50,120,,4,1071619860801001,405,1,3,0,0,0,,,,4,9,9,4,2,4,1986,1071619860801,08,wd,,,1071619860801001,,,,8,2,,,08MAR92:16:10,8,8,1,,,,8857030301,,1,8,8,1610,,30,26733.652483,19864498308wd,,0,1071619860801001
,BLUEFISH,19864498308wd,10716198608299235,0,2,5,,1,1,9,9,Y,30,70,,7,1071619860829009,235,3,3,0,1,0,,,,4,9,9,4,1,4,1986,1071619860829,08,wd,,,1071619860829009,1,1,0,8,1,,,08MAR92:16:10,8,1,1,,,,8835250101,,1,8,8,1840,,29,12960.85037,19864498308wd,,0,1071619860829009
,BLUEFISH,19864498307wd,10716198607239250,,2,5,,2,1,9,9,Y,3,5,,4,1071619860723001,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860723,07,wd,,,1071619860723001,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,2030,,43,12960.85037,19864498307wd,,0,1071619860723001
,BLUEFISH,19864498308wd,10716198608259250,,5,5,,2,1,9,9,Y,1,3,,1,1071619860825010,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825010,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1850,,49,12960.85037,19864498308wd,,0,1071619860825010
,BLUEFISH,19864498308wd,10716198608259250,0,5,5,,1,1,9,9,Y,3,5,,2,1071619860825012,250,3,3,0,10,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825012,1,10,0,8,2,,,08MAR92:16:10,8,1,1,,,,8835250101,,1,8,8,1920,,12,12960.85037,19864498308wd,,0,1071619860825012
,BLUEFISH,19864498308wd,106391986081211682,0,4,5,,1,1,11,11,Y,10,10,,2,1063919860812003,682,3,3,0,1,0,,,,4,9,9,4,1,4,1986,1063919860812,08,wd,,,1063919860812003,1,15,0,8,1,,,08MAR92:16:10,8,1,1,,,,8835250101,,1,8,8,1545,,50,26733.652483,19864498308wd,,0,1063919860812003
,BLUEFISH,19864498308wd,10716198608259250,,5,5,,2,1,9,9,Y,16,100,,2,1071619860825004,250,3,3,0,0,0,,,,4,9,9,4,2,4,1986,1071619860825,08,wd,,,1071619860825004,,,,8,2,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1730,,18,12960.85037,19864498308wd,,0,1071619860825004
,,19864498308we,10070198608169405,0,2,5,,1,1,9,17,O,0,0,,0.5,1007019860816006,405,1,3,0,1,0,,,,4,9,25,4,1,4,1986,1007019860816,08,we,,,1007019860816006,1,1,0,8,2,,,08MAR92:16:10,8,1,1,,,,,,1,8,8,1635,,27,11575.709624,19864498308we,,0,1007019860816006
WINTER FLOUNDER,SCUP,19864498308wd,106391986081211682,,4,5,,3,0,11,3,Y,3,3,,3,1063919860812002,682,3,3,0,0,1,,,,4,9,9,4,1,4,1986,1063919860812,08,wd,,,1063919860812001,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835430101,8857042001,1,8,8,1525,,27,26733.652483,19864498308wd,,0,1063919860812001
,BLUEFISH,19864498308wd,10716198608299235,,2,5,,2,1,9,9,Y,2,10,,2,1071619860829010,235,5,3,0,0,0,,,,4,9,9,4,2,4,1986,1071619860829,08,wd,,,1071619860829010,,,,8,2,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1850,,62,12960.85037,19864498308wd,,0,1071619860829010
,BLUEFISH,19864498308wd,10716198608259250,,5,5,,2,1,9,9,Y,3,50,,1,1071619860825009,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825009,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1835,,37,12960.85037,19864498308wd,,0,1071619860825009
,BLUEFISH,19864498308wd,10716198608259250,,5,5,,2,1,9,9,Y,6,9,,3,1071619860825002,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825002,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1710,,19,12960.85037,19864498308wd,,0,1071619860825002
,BLUEFISH,19864498308wd,10716198608259250,0,5,5,,2,1,9,9,Y,6,6,,3,1071619860825001,250,3,3,1,0,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825001,1,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1650,,21,12960.85037,19864498308wd,,0,1071619860825001
,BLUEFISH,19864498307wd,10716198607239250,,2,5,,2,1,9,9,Y,50,200,,4,1071619860723004,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860723,07,wd,,,1071619860723004,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,2110,,45,12960.85037,19864498307wd,,0,1071619860723004
,BLUEFISH,19864498307wd,10716198607239250,,2,5,,2,1,9,9,Y,60,150,,3,1071619860723003,250,3,3,0,0,0,,,,4,9,9,4,2,4,1986,1071619860723,07,wd,,,1071619860723003,,,,8,2,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,2100,,29,12960.85037,19864498307wd,,0,1071619860723003
,BLUEFISH,19864498308wd,10716198608259250,,5,5,,2,1,9,9,Y,7,10,,6,1071619860825003,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825003,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1720,,24,12960.85037,19864498308wd,,0,1071619860825003
,BLUEFISH,19864498308wd,10716198608299235,,2,5,,2,1,9,9,Y,60,200,,4,1071619860829006,235,5,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860829,08,wd,,,1071619860829006,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1735,,55,12960.85037,19864498308wd,,0,1071619860829006
WINTER FLOUNDER,SCUP,19864498308wd,106391986081211682,0,4,5,,1,2,11,3,Y,3,3,,3,1063919860812001,682,3,3,0,10,0,,,,4,9,9,4,1,4,1986,1063919860812,08,wd,,,1063919860812001,1,30,0,8,1,,,08MAR92:16:10,8,2,1,,,,8835430101,8857042001,1,8,2,1520,,33,26733.652483,19864498308wd,,0,1063919860812001
,BLUEFISH,19864498307we,10716198607061112,,2,5,,2,1,1,1,Y,3,3,,1,1071619860706001,112,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860706,07,we,,,1071619860706001,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1515,,19,8828.3013404,19864498307we,,0,1071619860706001
,BLUEFISH,19864498308wd,10716198608299235,,2,5,,2,1,9,9,Y,45,50,,3,1071619860829005,235,5,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860829,08,wd,,,1071619860829005,,,,8,2,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1715,,15,12960.85037,19864498308wd,,0,1071619860829005
,BLUEFISH,19864498308wd,10716198608259250,,5,5,,2,1,9,9,Y,1,3,,1,1071619860825011,250,3,3,0,0,0,,,,4,9,9,4,1,4,1986,1071619860825,08,wd,,,1071619860825011,,,,8,1,,,08MAR92:16:10,8,8,1,,,,8835250101,,1,8,8,1905,,15,12960.85037,19864498308wd,,0,1071619860825011
